simulate,inverse,identity,error
0,0,0,NaN
0.01,0.01000000002,0.01,0.0000001999997737
0.01999959991,0.01999960055,0.02,-0.00199727032
0.02999879835,0.02999880321,0.03,-0.003989316135
0.03999759035,0.03999761082,0.04,-0.005972941625
0.04999596495,0.04999602742,0.05,-0.007945153938
0.05999390278,0.05999405822,0.06,-0.009902963851
0.06999137369,0.06999170963,0.07,-0.01184338644
0.07998833435,0.07998898925,0.08,-0.01376344176
0.08998472584,0.08998590586,0.09,-0.01566015565
0.09998047128,0.09998246944,0.1,-0.0175305604
0.1099754734,0.1099786911,0.11,-0.01937169569
0.1199696124,0.1199745833,0.12,-0.0211806094
0.1299627429,0.1299701593,0.13,-0.02295435861
0.1399546926,0.139965434,0.14,-0.0246900106
0.149945259,0.149960423,0.15,-0.02638464396
0.1599342074,0.1599551434,0.16,-0.02803534976
0.1699212687,0.1699496133,0.17,-0.0296392329
0.179906137,0.1799438519,0.18,-0.03119341345
0.1898884669,0.1899378794,0.19,-0.03269502815
0.199867872,0.1999317175,0.2,-0.03414123205
0.209843922,0.2099253887,0.21,-0.03552920026
0.2198161405,0.2199189165,0.22,-0.03685612979
0.2297840034,0.2299123257,0.23,-0.03811924161
0.2397469361,0.2399056421,0.24,-0.03931578274
0.2497043117,0.2498988924,0.25,-0.04044302862
0.2596554493,0.2598921045,0.26,-0.04149828556
0.2695996113,0.269885307,0.27,-0.04247889334
0.2795360021,0.2798785298,0.28,-0.04338222803
0.2894637661,0.2898718035,0.29,-0.04420570491
0.2993819862,0.2998651597,0.3,-0.0449467817
0.3092896817,0.3098586308,0.31,-0.04560296177
0.3191858073,0.3198522502,0.32,-0.04617179774
0.3290692515,0.329846052,0.33,-0.04665089507
0.3389388354,0.3398400711,0.34,-0.04703791603
0.3487933116,0.349834343,0.35,-0.04733058368
0.3586313635,0.3598289039,0.36,-0.04752668613
0.368451604,0.3698237909,0.37,-0.047624081
0.3782525756,0.3798190413,0.38,-0.04762069996
0.3880327495,0.3898146932,0.39,-0.04751455358
0.3977905257,0.3998107851,0.4,-0.04730373622
0.4075242332,0.4098073556,0.41,-0.04698643118
0.4172321298,0.4198044442,0.42,-0.04656091597
0.4269124032,0.4298020901,0.43,-0.04602556773
0.4365631717,0.439800333,0.44,-0.04537886874
0.4461824851,0.4497992126,0.45,-0.04461941218
0.455768326,0.4597987688,0.46,-0.04374590784
0.4653186119,0.4697990412,0.47,-0.04275718802
0.474831197,0.4798000694,0.48,-0.04165221354
0.4843038741,0.4898018926,0.49,-0.04043007965
0.4937343778,0.4998045499,0.5,-0.03909002219
0.5031203872,0.5098080797,0.51,-0.03763142357
0.512459529,0.5198125201,0.52,-0.03605381888
0.5217493812,0.5298179084,0.53,-0.03435690188
0.5309874771,0.5398242811,0.54,-0.03254053101
0.5401713095,0.549831674,0.55,-0.03060473522
0.549298335,0.5598401216,0.56,-0.0285497198
0.5583659793,0.5698496575,0.57,-0.02637587194
0.567371642,0.5798603142,0.58,-0.02408376627
0.5763127023,0.5898721224,0.59,-0.02167417006
0.5851865242,0.5998851117,0.6,-0.01914804827
0.5939904634,0.6098993099,0.61,-0.01650656837
0.6027218725,0.6199147432,0.62,-0.01375110478
0.6113781079,0.6299314356,0.63,-0.0108832431
0.6199565364,0.6399494094,0.64,-0.007904783911
0.6284545419,0.6499686846,0.65,-0.004817746315
0.636869532,0.6599892792,0.66,-0.001624370997
0.6451989453,0.6700112083,0.67,0.001672877073
0.6534402579,0.6800344849,0.68,0.005071306365
0.6615909911,0.6900591192,0.69,0.008567996967
0.6696487177,0.7000851186,0.7,0.01215979921
0.6776110693,0.7101124877,0.71,0.01584333275
0.6854757431,0.7201412279,0.72,0.01961498615
0.6932405084,0.7301713377,0.73,0.02347091688
0.7009032131,0.7402028122,0.74,0.02740705186
0.7084617903,0.7502356432,0.75,0.03141908838
0.7159142641,0.760269819,0.76,0.03550249561
0.7232587551,0.7703053244,0.77,0.03965251639
0.7304934863,0.7803421405,0.78,0.04386416961
0.7376167877,0.7903802448,0.79,0.04813225288
0.7446271012,0.8004196108,0.8,0.05245134568
0.7515229849,0.8104602081,0.81,0.05681581277
0.7583031166,0.8205020024,0.82,0.06121980798
0.7649662973,0.8305449554,0.83,0.06565727834
